Bayer K,15.78,-50.29,-34.06
Bayer L,13.35,-47.52,-33.69
Bayer M,9.51,-50.69,-31.19
Bayer N,8.57,-48.33,-29.37
Bayer P,4.25,-51.72,-29.68
Bayer R,7.69,-52.42,-35.61
Bayer S,15.44,-52.33,-36.45
Bayer T,7.98,-49.25,-30.32
Bayer U,9.69,-48.4,-31.4
Bayer V,9.4,-47.56,-31.76
Bayer W,8.83,-48.04,-33.41
Bayer X,8.36,-53.42,-33.81
Bayer Y,27.59,-49.23,-35.87
Bayer Z,6.2,-49.12,-33.61
Beals,52.61,37.11,86.58
Bear Mountain,3.46,19.98,30.77
Beaumont,50.69,-18.08,28.82
Beaumont A,14.32,-16.31,27.78
Beaumont B,15.14,-18.71,26.8
Beaumont C,6.02,-20.25,27.93
Beaumont D,10.49,-17.09,26.17
Beaumont E,16.32,-18.89,27.49
Beaumont F,8.9,-18.37,26.59
Beaumont G,7.73,-20.37,27.14
Beaumont H,3.66,-17.08,28.53
Beaumont J,4.85,-19.95,26.5
Beaumont K,4.95,-17.52,30.07
Beaumont L,4.24,-14.46,30.02
Beaumont M,10.22,-19.43,28.63
Beaumont N,4.9,-16.96,27.77
Beaumont P,16.25,-19.92,29.59
Beaumont R,4.1,-17.94,30.72
Becquerel,62.86,40.79,129.5
Becquerel E,30.45,40.95,131.45
Becquerel F,23.16,40.84,132.85
Becquerel W,25.36,42.05,127.07
Becquerel X,34.24,42.02,128.21
Bečvář,66.62,-2.57,125.07
Bečvář D,10.89,-1.81,127.41
Bečvář E,16.16,-1.98,127.91
